id,name,price,mrp,rating,ratingTotal,discount,seller
1,Men Solid Oversized Cotton,532.0,1299.0,4.1,5300,59,Difference of Opinion
2,Men Cotton Pure Cotton T-shirt,274.0,499.0,4.2,25400,45,Roadster
3,Women Pure Cotton T-shirt,551.0,1199.0,4.5,3400,54,DILLINGER
4,Typography Print T-shirt,296.0,1099.0,4.0,18400,73,Huetrap
5,Printed Round Neck Pure Cotton T-shirt,494.0,899.0,4.2,3800,45,Roadster
6,Boys Pack of 5 T-shirt,699.0,4995.0,4.1,1200,86,HELLCAT
7,Polo Collar Cotton Pure Cotton T-shirt,449.0,899.0,4.1,10500,50,Roadster
8,Boys Pack Of 5 Printed T-shirt,699.0,4995.0,4.1,2300,86,HELLCAT
9,Printed Pure Cotton T-shirt,279.0,699.0,4.2,55400,60,HRX by Hrithik Roshan
10,Printed Round Neck Pure Cotton T-shirt,399.0,799.0,4.1,5600,50,Roadster
11,Printed Round Neck Pure Cotton T-shirt,419.0,699.0,4.1,6900,40,Roadster
12,Longline T-shirt with Raw Edge,463.0,799.0,3.9,11600,42,Roadster
13,Printed Oversized Pure Cotton T-shirt,551.0,1199.0,4.5,5500,54,DILLINGER
14,Men Camouflage Printed Loose T-shirt,479.0,1199.0,4.1,1900,60,VEIRDO
15,Time Travlr Sleveless Pure Cotton T-shirt,124.0,499.0,4.1,5100,75,Roadster
16,Men Striped Polo Collar T-shirt,1199.0,1999.0,4.6,180,40,Louis Philippe Sport
17,Men Striped Polo Collar T-shirt,349.0,1399.0,4.1,3800,75,Roadster
18,Henley Neck T-shirt,274.0,499.0,4.2,3600,45,Roadster
19,Typography Cotton T-shirt,299.0,599.0,4.0,29100,50,Roadster
20,Women Candy Stripes T-shirt,494.0,1099.0,4.2,1800,55,Moda Rapido
21,Printed Cotton Pure Cotton T-shirt,399.0,799.0,4.2,12500,50,Roadster
22,Cotton Oversized T-Shirt,545.0,1299.0,4.6,1300,58,DILLINGER
23,Solid Round Neck T-shirt,359.0,799.0,4.1,6400,55,Roadster
24,Printed Cotton Pure Cotton T-shirt,384.0,699.0,4.2,66900,45,HRX by Hrithik Roshan
25,Slim Tropical Printed Pure Cotton T-shirt,461.0,1099.0,4.1,11900,58,Urbano Fashion
26,Men Polo Collar Slim Fit T-shirt,1699.0,1699.0,4.5,295,0,U.S. Polo Assn.
27,Colourblocked Pure Cotton,349.0,699.0,4.3,1700,50,Roadster
28,Men Printed Football T-shirt,3849.0,5499.0,4.8,42,30,Puma
29,Colourblocked Raw Edge T-shirt,359.0,799.0,4.0,5300,55,Roadster
30,Polo Collar Cotton Pure Cotton T-shirt,454.0,1299.0,4.1,9800,65,HERE&NOW
31,Women Typography Printed Loose T-shirt,524.0,1499.0,4.4,485,65,DILLINGER
32,Curl Edge Cotton T-shirt,199.0,399.0,4.0,1500,50,Roadster
33,Men Colourblocked Polo Collar T-shirt,449.0,899.0,3.9,95,50,Roadster
34,Men Solid Pure Cotton T-shirt,1299.0,2599.0,4.0,622,50,Nautica
35,Drop Shoulder Longline T-shirt,319.0,799.0,4.1,9600,60,Roadster
36,Printed Round Neck T-Shirt,1799.0,1999.0,4.5,67,10,Puma
37,Women White Wide T-shirt,699.0,699.0,4.2,780,0,H&M
38,Rapid Dry Raglan Polo T-shirt,714.0,1299.0,3.9,800,45,HRX by Hrithik Roshan
39,Printed Boxy Fit T-shirt,279.0,799.0,4.1,7900,65,Roadster
40,Men Solid Pure Cotton T-shirt,1299.0,2599.0,4.4,620,50,Nautica
41,Polo Collar Oversized T-shirt,1393.0,1699.0,3.9,34,18,Bonkers Corner
42,Printed Pure Cotton T-shirt,359.0,599.0,4.3,1500,40,Roadster
43,Men 2022 Fan Jersey,844.0,1299.0,4.4,788,35,Puma
44,Striped Henley Neck Pure Cotton T-shirt,449.0,899.0,4.0,2800,50,Roadster
45,Printed Henley T-shirt,314.0,899.0,4.2,7900,65,Roadster
46,Oversized Pure Cotton T-shirt,659.0,1199.0,4.4,1900,45,Kook N Keech
47,Ultralyte Men Running T-shirt,494.0,899.0,4.4,14400,45,HRX by Hrithik Roshan
48,Printed Round Neck Pure Cotton T-shirt,319.0,799.0,4.2,3800,60,Roadster
49,Solid Polo Collar Pure Cotton T-shirt,449.0,1499.0,4.1,341,70,Roadster
50,Polo Collar Cotton Pure Cotton T-shirt,764.0,1699.0,4.1,12200,55,HERE&NOW
