id,name,price,mrp,rating,ratingTotal,discount,seller
110,Studs Earrings,1258.0,1573.0,0.0,0,20,PALMONAS
111,Set Of 2 Gold-Plated Anklets,2995.0,2995.0,0.0,0,0,Silvermerc Designs
112,Gold-Plated Long Jewellery Set,465.0,1699.0,0.0,0,1234,MANSIYAORANGE
113,Gold-Plated Necklace,339.0,1699.0,0.0,0,80,ROFARWORD
114,Gold-Plated Jewellery Set,309.0,1549.0,0.0,0,80,ROFARWORD
115,Gold-Plated Jewellery Set,1395.0,4500.0,0.0,0,69,GRIIHAM
116,Gold-Plated Drop Earrings,749.0,3745.0,0.0,0,80,Peora
117,Gold-Plated Statement Necklace,994.0,2925.0,0.0,0,66,SOHI
118,Gold-Plated Jewellery Set,339.0,1699.0,0.0,0,80,ROFARWORD
119,Silver-Plated Oxidized Bangle,1999.0,1999.0,0.0,0,0,Samridhi DC
120,Gold-Plated Jewellery Set,882.0,2264.0,0.0,0,61,Sukkhi
121,Textured Structured Sling Bag,1690.0,1690.0,0.0,0,0,Metro
122,Studs Earrings,1416.0,1770.0,0.0,0,20,PALMONAS
123,Women Silver-Plated Charm Bracelet,899.0,4495.0,0.0,0,80,Peora
124,Rose Gold-Plated Finger Ring,349.0,349.0,0.0,0,0,MYKI
125,Rose Gold-Plated Mangalsutra,881.0,5875.0,0.0,0,85,Vita Bella
126,Set of 2 Silver-Plated Anklets,1999.0,1999.0,0.0,0,0,RUHI COLLECTION
127,Drop Earrings,399.0,399.0,0.0,0,0,MYKI
128,Rhodium-Plated Jewellery Set,559.0,2799.0,0.0,0,80,Aazeen
129,Women PU Belt With Chain Drop,1195.0,1195.0,0.0,0,0,20Dresses
130,Gold-Plated Jewellery Set,453.0,1164.0,0.0,0,61,Sukkhi
131,Silver-Plated Jewellery Set,388.0,2159.0,0.0,0,82,Anouk
132,Rhodium-Plated Drop Earrings,591.0,3699.0,0.0,0,84,Aazeen
133,Rhodium-Plated Bracelet,379.0,1899.0,0.0,0,80,Aazeen
134,Silver-Plated Ring,299.0,999.0,0.0,0,700,VIEN
135,Gold-Plated Necklace,994.0,2925.0,0.0,0,66,SOHI
136,Brass Gold-Plated Layered Necklace,299.0,2499.0,0.0,0,88,Aazeen
137,Set Of 2 Gold-Plated Bangles,665.0,3699.0,0.0,0,82,Aazeen
138,Aviator Sunglasses,903.0,1290.0,0.0,0,30,MAGNEQ
139,Drop Earrings,1899.0,1899.0,0.0,0,0,Jewelz
140,Set of 2 Coffee Body Wash,798.0,798.0,4.5,69,0,MCaffeine
141,Gold-Plated Short Chain,149.0,999.0,0.0,0,85,JEWEL WORLD
142,Studs Earrings,320.0,320.0,0.0,0,0,MYKI
143,Jhumkas Earrings,459.0,1999.0,0.0,0,77,Aazeen
144,Textured Structured Sling Bag,1690.0,1690.0,0.0,0,0,Metro
145,Gold-Plated Jewellery Set,4000.0,12500.0,0.0,0,68,GRIIHAM
146,Gold-Plated Necklace,1198.0,3525.0,0.0,0,66,SOHI
147,Jhumkas Earrings,299.0,2999.0,0.0,0,90,Kord Store
148,Drop Earrings,399.0,399.0,0.0,0,0,MYKI
149,Rhodium-Plated Jewellery Set,1484.0,5499.0,0.0,0,73,Aazeen
150,Gold-Plated Necklace,359.0,1799.0,0.0,0,80,ROFARWORD
151,Printed Cotton Kurta,2199.0,2199.0,0.0,0,0,Fabindia
152,Gold-Plated Jewellery Set,1488.0,4800.0,0.0,0,69,GRIIHAM
153,Kalamkari Tussar Jute Silk Saree,22899.0,45798.0,0.0,0,50,Unnati Silks
154,Floral Kanjeevaram Saree,5599.0,5599.0,0.0,0,0,MIMOSA
155,Woven Design Taant Saree,4785.0,4785.0,0.0,0,0,AllSilks
156,Gold-Plated Jewellery Set,645.0,1699.0,0.0,0,1054,MANSIYAORANGE
157,Semi-Stitched Lehenga Unstitched Blouse With Dupatta,2299.0,2299.0,0.0,0,0,APNISHA
158,Ready to Wear Lehenga Blouse With Dupatta,6682.0,12850.0,0.0,0,48,Fusionic
159,Zari Banarasi Saree,835.0,1899.0,0.0,0,56,Ode by House of Pataudi
160,Woven Design Kanjeevaram Saree,749.0,2497.0,0.0,0,70,HERE&NOW
161,Striped Pure Cotton Saree,2512.0,3490.0,0.0,0,28,Charukriti
162,Woven Design Silk Cotton Saree,2340.0,3250.0,0.0,0,28,Charukriti
163,Kurti With Sharara & Dupatta,2949.0,4999.0,0.0,0,41,SCAKHI
164,Printed Embellished Saree,1343.0,4799.0,0.0,0,72,Anouk
165,Woven Design Banarasi Silk Blend Saree,1399.0,6995.0,0.0,0,80,RAJGRANTH
166,Kurta with Trousers & Dupatta,3500.0,4375.0,0.0,0,20,HOUSE OF JAMOTI
167,Gold-Plated Long Jewellery Set,465.0,1699.0,0.0,0,1234,MANSIYAORANGE
168,Woven Design Art Silk Saree,2695.0,2695.0,0.0,0,0,Meena Bazaar
169,Pure Chiffon Leheriya Saree,719.0,2999.0,0.0,0,76,KALINI
170,Gold-Plated Necklace,339.0,1699.0,0.0,0,80,ROFARWORD
171,Printed Cotton Ethnic Dress,4671.0,7299.0,0.0,0,36,SCAKHI
